module,type,name,res_id,src,value
hr,code,addons/hr/hr.py,158,%s (copy),%s (copy)
hr,model,"ir.actions.act_window,help",hr.open_view_employee_list_my,"<p class=""oe_view_nocontent_create"">
                Click to add a new employee.
              </p><p>
                With just a quick glance on the Odoo employee screen, you
                can easily find all the information you need for each person;
                contact data, job position, availability, etc.
              </p>
            ","<p class=""oe_view_nocontent_create"">
              单击创建新的员工档案信息。
              </p><p>
              只需眼睛一扫系统的员工界面你就可以轻松地查找每个人的信息，比如联系方式、工作岗位等等。
              </p>
            "
hr,model,"ir.actions.act_window,help",hr.open_module_tree_department,"<p class=""oe_view_nocontent_create"">
                Click to create a department.
              </p><p>
                Odoo's department structure is used to manage all documents
                related to employees by departments: expenses, timesheets,
                leaves and holidays, recruitments, etc.
              </p>
            ","<p class=""oe_view_nocontent_create"">
               单击创建部门信息。
              </p><p>
                系统的部门结构数据用于管理所有与员工部门有关的单据：报销单、时间表、准假申请、招聘等。
              </p>
            "
hr,model,"ir.actions.act_window,help",hr.view_department_form_installer,"<p class=""oe_view_nocontent_create"">
                Click to define a new department.
              </p><p>
                Your departments structure is used to manage all documents
                related to employees by departments: expenses and timesheets,
                leaves and holidays, recruitments, etc.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击创建部门.
              </p><p>
                OpenERP 的部门结构 用来管理所有跟部门员工相关
                的单据：费用、计工单、请假、假期和招聘等等。
 
              </p>
            "
hr,model,"ir.actions.act_window,help",hr.action_hr_job,"<p class=""oe_view_nocontent_create"">
                Click to define a new job position.
              </p><p>
                Job Positions are used to define jobs and their requirements.
                You can keep track of the number of employees you have per job
                position and follow the evolution according to what you planned
                for the future.
              </p><p>
                You can attach a survey to a job position. It will be used in
                the recruitment process to evaluate the applicants for this job
                position.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击定义个一个新的职位
              </p><p>
               职位用来定义工作和它们的需求。
                你能跟踪跟踪每个职位的员工数，并且根据你未来的计划跟进变化。
              </p>
              <p>
                你能附加一个调查表到职位信息中用于在招聘流程中评估此岗位的申请人。
              </p>
            "
hr,view,hr.employee,hr.view_employee_form,Active,有效
hr,view,hr.config.settings,hr.view_human_resources_configuration,Additional Features,附加特性
hr,field,"hr.config.settings,module_account_analytic_analysis",0,Allow invoicing based on timesheets (the sale application will be installed),允许基于计工单开票（销售应用模块将被安装）
hr,field,"hr.config.settings,module_hr_timesheet_sheet",0,Allow timesheets validation by managers,允许管理人员核准工时单
hr,view,hr.config.settings,hr.view_human_resources_configuration,Apply,应用
hr,model,"ir.ui.menu,name",hr.menu_open_view_attendance_reason_new_config,Attendance,考勤
hr,field,"hr.employee,bank_account_id",0,Bank Account Number,银行账户号码
hr,view,hr.employee,hr.view_employee_form,Birth,出生
hr,help,"hr.job,state",0,"By default 'Closed', set it to 'In Recruitment' if recruitment process is going on for this job position.","By default 'Closed', set it to 'In Recruitment' if recruitment process is going on for this job position."
hr,view,hr.config.settings,hr.view_human_resources_configuration,Cancel,取消
