module,type,name,res_id,src,value
project,field,"res.partner,task_count",0,# Tasks,# Tasks
project,field,"report.project.task.user,no_of_days",0,# of Days,# of Days
project,field,"project.task.history.cumulative,nbr_tasks",0,# of Tasks,# of Tasks
project,field,"report.project.task.user,nbr",0,# of Tasks,# of Tasks
project,code,addons/project/project.py,360,%s (copy),%s (copy)
project,code,addons/project/project.py,380,%s (copy),%s (copy)
project,code,addons/project/project.py,702,%s (copy),%s (copy)
project,model,"ir.actions.act_window,help",project.open_view_project_all,"<p class=""oe_view_nocontent_create"">
                  Click to start a new project.
                </p><p>
                  Projects are used to organize your activities; plan
                  tasks, track issues, invoice timesheets. You can define
                  internal projects (R&amp;D, Improve Sales Process),
                  private projects (My Todos) or customer ones.
                </p><p>
                  You will be able collaborate with internal users on
                  projects or invite customers to share your activities.
                </p>
            ","<p class=""oe_view_nocontent_create"">
                  创建一个新项目
                </p><p>
                  项目是组织活动，计划任务，跟踪问题，记录人力资源成本的组织形式。项目可以分为内部项目（研发活动，加快销售进度），私有项目或者客户参与的项目。
                </p><p>
                内部用户以项目成员的方式参与到项目中，也可以邀请客户加入到项目中分享项目活动。
                </p>
            "
project,model,"ir.actions.act_window,help",project.project_category_action,"<p class=""oe_view_nocontent_create"">
                Click to add a new tag.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                Click to add a new tag.
              </p>
            "
project,model,"ir.actions.act_window,help",project.open_task_type_form,"<p class=""oe_view_nocontent_create"">
                Click to add a stage in the task pipeline.
              </p><p>
                Define the steps that will be used in the project from the
                creation of the task, up to the closing of the task or issue.
                You will use these stages in order to track the progress in
                solving a task or an issue.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                Click to add a stage in the task pipeline.
              </p><p>
                Define the steps that will be used in the project from the
                creation of the task, up to the closing of the task or issue.
                You will use these stages in order to track the progress in
                solving a task or an issue.
              </p>
            "
project,model,"ir.actions.act_window,help",project.act_project_project_2_project_task_all,"<p>
                    Odoo's project management allows you to manage the pipeline
                    of tasks in order to get things done efficiently. You can
                    track progress, discuss on tasks, attach documents, etc.
                </p>
            ","<p>
                    Odoo's project management allows you to manage the pipeline
                    of tasks in order to get things done efficiently. You can
                    track progress, discuss on tasks, attach documents, etc.
                </p>
            "
project,model,"ir.actions.act_window,help",project.action_view_task,"<p>
                    Odoo's project management allows you to manage the pipeline
                    of tasks in order to get things done efficiently. You can
                    track progress, discuss on tasks, attach documents, etc.
                </p>
            ","<p>
                    Odoo's project management allows you to manage the pipeline
                    of tasks in order to get things done efficiently. You can
                    track progress, discuss on tasks, attach documents, etc.
                </p>
            "
project,help,"project.task,kanban_state",0,"A task's kanban state indicates special situations affecting it:
 * Normal is the default situation
 * Blocked indicates something is preventing the progress of this task
 * Ready for next stage indicates the task is ready to be pulled to the next stage","A task's kanban state indicates special situations affecting it:
 * Normal is the default situation
 * Blocked indicates something is preventing the progress of this task
 * Ready for next stage indicates the task is ready to be pulled to the next stage"
project,view,project.project,project.edit_project,Accept Emails From,Accept Emails From
project,field,"project.project,active",0,Active,有效
project,view,project.task,project.view_task_form2,Add a Description...,Add a Description...
project,view,project.task.type,project.task_type_edit,Add a description...,Add a description...
project,view,project.project,project.edit_project,Administration,系统管理
project,field,"project.project,alias_id",0,Alias,别名
project,field,"project.project,alias_model",0,Alias Model,Alias Model
project,field,"project.config.settings,group_manage_delegation_task",0,Allow task delegation,Allow task delegation
project,help,"project.config.settings,group_time_work_estimation_tasks",0,Allows you to compute Time Estimation on tasks.,Allows you to compute Time Estimation on tasks.
project,help,"project.config.settings,group_tasks_work_on_tasks",0,Allows you to compute work on tasks.,Allows you to compute work on tasks.
project,help,"project.config.settings,group_manage_delegation_task",0,Allows you to delegate tasks to other users.,Allows you to delegate tasks to other users.
project,model,"project.task.type,name",project.project_tt_analysis,Analysis,分析
project,model,"ir.model,name",project.model_account_analytic_account,Analytic Account,分析账户
project,view,project.project,project.edit_project,Append this project to another one using analytic accounts hierarchy,Append this project to another one using analytic accounts hierarchy
project,view,project.config.settings,project.view_config_settings,Apply,应用
project,field,"project.task.delegate,user_id",0,Assign To,分配到
project,field,"report.project.task.user,date_start",0,Assignation Date,指定日期
project,view,project.task,project.view_task_search_form,Assignation Month,指派月份
project,view,report.project.task.user,project.view_task_project_user_search,Assignation Month,指派月份
project,model,"ir.actions.act_window,name",project.act_res_users_2_project_task_opened,Assigned Tasks,已指派任务
project,field,"report.project.task.user,user_id",0,Assigned To,已指派给
project,view,project.task,project.view_task_search_form,Assigned to,已指派给
project,field,"project.task,user_id",0,Assigned to,已指派给
project,view,project.task.history.cumulative,project.view_task_history_search,Assigned to,已指派给
project,view,report.project.task.user,project.view_task_project_user_search,Assigned to,已指派给
project,code,addons/project/project.py,212,Attachments,附件
project,field,"report.project.task.user,hours_delay",0,Avg. Plan.-Eff.,Avg. Plan.-Eff.
project,selection,"project.task,kanban_state",0,Blocked,已封锁
project,selection,"project.task.history,kanban_state",0,Blocked,已封锁
project,view,project.task.history.cumulative,project.view_task_history_search,Blocked,已封锁
project,selection,"project.task.history.cumulative,kanban_state",0,Blocked,已封锁
project,selection,"report.project.task.user,state",0,Blocked,已封锁
project,model,"ir.filters,name",project.filter_task_report_responsible,By Responsible,By Responsible
project,model,"ir.filters,name",project.filter_task_report_reviewer,By Reviewer,By Reviewer
project,code,addons/project/wizard/project_task_delegate.py,69,CHECK: ,CHECK: 
project,code,addons/project/wizard/project_task_delegate.py,70,CHECK: ,CHECK: 
project,code,addons/project/wizard/project_task_delegate.py,77,CHECK: ,CHECK: 
project,code,addons/project/wizard/project_task_delegate.py,78,CHECK: ,CHECK: 
project,code,addons/project/wizard/project_task_delegate.py,81,CHECK: %s,CHECK: %s
project,view,project.config.settings,project.view_config_settings,Cancel,取消
project,view,project.task.delegate,project.view_project_task_delegate,Cancel,取消
project,view,project.project,project.edit_project,Cancel Project,Cancel Project
project,selection,"project.project,state",0,Cancelled,已取消
project,model,"project.task.type,name",project.project_tt_cancel,Cancelled,已取消
project,model,"ir.model,name",project.model_project_category,"Category of project's task, issue, ...",项目的任务类别，问题，...
project,code,addons/project/project.py,929,"Child task still open.
Please cancel or complete child task first.","Child task still open.
Please cancel or complete child task first."
project,view,project.project,project.edit_project,Close Project,Close Project
project,selection,"project.project,state",0,Closed,已关闭
project,field,"project.project,color",0,Color Index,颜色索引
project,field,"project.task,color",0,Color Index,颜色索引
project,view,project.task.type,project.task_type_search,Common,Common
project,model,"ir.model,name",project.model_res_company,Companies,公司
project,view,project.task,project.view_task_search_form,Company,公司
project,field,"project.task,company_id",0,Company,公司
project,field,"project.task.work,company_id",0,Company,公司
project,view,report.project.task.user,project.view_task_project_user_search,Company,公司
project,field,"report.project.task.user,company_id",0,Company,公司
project,help,"project.task,delay_hours",0,Computed as difference between planned hours by the project manager and the total hours of the task.,Computed as difference between planned hours by the project manager and the total hours of the task.
project,help,"project.task,total_hours",0,Computed as: Time Spent + Remaining Time.,Computed as: Time Spent + Remaining Time.
project,help,"project.task,effective_hours",0,Computed using the sum of the task work done.,Computed using the sum of the task work done.
project,model,"ir.actions.act_window,name",project.action_config_settings,Configure Project,配置项目
project,view,project.config.settings,project.view_config_settings,Configure Project,配置项目
project,view,project.project,project.view_project,Contact,联系人
project,view,project.project,project.view_project_project_filter,Contact,联系人
project,field,"report.project.task.user,partner_id",0,Contact,联系人
project,field,"project.project,analytic_account_id",0,Contract/Analytic,Contract/Analytic
project,field,"project.task,create_date",0,Create Date,创建日期
project,field,"project.category,create_uid",0,Created by,创建者
project,field,"project.config.settings,create_uid",0,Created by,创建者
project,field,"project.project,create_uid",0,Created by,创建者
project,field,"project.task,create_uid",0,Created by,创建者
project,field,"project.task.delegate,create_uid",0,Created by,创建者
project,field,"project.task.type,create_uid",0,Created by,创建者
project,field,"project.task.work,create_uid",0,Created by,创建者
project,field,"project.category,create_date",0,Created on,创建于
project,field,"project.config.settings,create_date",0,Created on,创建于
project,field,"project.project,create_date",0,Created on,创建于
project,field,"project.task.delegate,create_date",0,Created on,创建于
project,field,"project.task.type,create_date",0,Created on,创建于
project,field,"project.task.work,create_date",0,Created on,创建于
project,view,project.task,project.view_task_search_form,Creation Date,创建日期
project,view,project.task.history.cumulative,project.view_task_history_search,Creation Date,创建日期
project,view,report.project.task.user,project.view_task_project_user_search,Creation Date,创建日期
project,model,"ir.actions.act_window,name",project.action_view_task_history_cumulative,Cumulative Flow,渐进过程
project,model,"ir.ui.menu,name",project.menu_action_view_task_history_cumulative,Cumulative Flow,渐进过程
project,view,project.project,project.edit_project,Customer,客户
project,field,"project.task,partner_id",0,Customer,客户
project,field,"project.task.history,date",0,Date,日期
project,field,"project.task.history.cumulative,date",0,Date,日期
project,field,"project.task.work,date",0,Date,日期
project,help,"project.project,message_last_post",0,Date of the last message posted on the record.,发布到记录上的最后信息的日期
project,help,"project.task,message_last_post",0,Date of the last message posted on the record.,发布到记录上的最后信息的日期
project,field,"report.project.task.user,opening_days",0,Days to Assign,Days to Assign
project,field,"report.project.task.user,closing_days",0,Days to Close,结束日期
project,field,"project.task,date_deadline",0,Deadline,截止日期
project,field,"report.project.task.user,date_deadline",0,Deadline,截止日期
project,field,"project.task.type,case_default",0,Default for New Projects,Default for New Projects
project,field,"project.task,delay_hours",0,Delay Hours,Delay Hours
project,view,project.task,project.view_task_form2,Delegate,Delegate
project,view,project.task.delegate,project.view_project_task_delegate,Delegated Task,Delegated Task
project,field,"project.task,child_ids",0,Delegated Tasks,Delegated Tasks
project,field,"project.task.delegate,name",0,Delegated Title,Delegated Title
project,field,"project.task,delegated_user_id",0,Delegated To,Delegated To
project,code,addons/project/project.py,946,Delegated User should be specified,Delegated User should be specified
project,view,project.task,project.view_task_form2,Delegated tasks,Delegated tasks
project,view,project.task,project.view_task_form2,Delegation,Delegation
project,view,project.project,project.view_project_kanban,Delete,删除
project,view,project.task,project.view_task_kanban,Delete,删除
project,view,project.task,project.view_task_form2,Description,说明
project,field,"project.task,description",0,Description,说明
project,field,"project.task.type,description",0,Description,说明
project,model,"project.task.type,name",project.project_tt_design,Design,设计
project,model,"project.task.type,name",project.project_tt_development,Development,开发
project,view,project.project,project.edit_project,Documents,文档
project,view,project.project,project.view_project_kanban,Documents,文档
project,selection,"project.task.delegate,state",0,Done,完成
project,model,"project.task.type,name",project.project_tt_deployment,Done,完成
project,field,"project.task.work,user_id",0,Done by,Done by
project,view,project.task,project.view_task_kanban,Edit...,编辑...
project,field,"report.project.task.user,hours_effective",0,Effective Hours,Effective Hours
project,view,project.project,project.edit_project,Email Alias,Email Alias
project,view,project.project,project.edit_project,End Date,结束日期
project,field,"project.task.history,end_date",0,End Date,结束日期
project,field,"project.task.history.cumulative,end_date",0,End Date,结束日期
project,field,"project.task,date_end",0,Ending Date,结束日期
project,field,"report.project.task.user,date_end",0,Ending Date,结束日期
project,constraint,project.task,0,Error ! Task end-date must be greater than task start-date,Error ! Task end-date must be greater than task start-date
project,constraint,project.task,0,Error ! You cannot create recursive tasks.,Error ! You cannot create recursive tasks.
project,constraint,project.project,0,Error! project start-date must be lower than project end-date.,Error! project start-date must be lower than project end-date.
project,help,"project.task.delegate,planned_hours_me",0,Estimated time for you to validate the work done by the user to whom you delegate this task,Estimated time for you to validate the work done by the user to whom you delegate this task
project,help,"project.task.delegate,planned_hours",0,Estimated time to close this task by the delegated user,Estimated time to close this task by the delegated user
project,help,"project.task,planned_hours",0,"Estimated time to do the task, usually set by the project manager when the task is in draft state.","Estimated time to do the task, usually set by the project manager when the task is in draft state."
project,view,report.project.task.user,project.view_task_project_user_search,Extended Filters,Extended Filters
project,view,project.task,project.view_task_form2,Extra Info,额外信息
project,field,"project.task.type,fold",0,Folded in Kanban View,Folded in Kanban View
project,view,project.project,project.edit_project,Follow this project to automatically track the events associated to tasks and issues of this project.,Follow this project to automatically track the events associated to tasks and issues of this project.
project,field,"project.project,message_follower_ids",0,Followers,关注者
project,field,"project.task,message_follower_ids",0,Followers,关注者
project,model,"ir.ui.menu,name",project.menu_tasks_config,GTD,GTD
project,view,project.task,project.view_task_form2,Gantt View,Gantt View
project,field,"project.config.settings,module_sale_service",0,Generate tasks from sale orders,Generate tasks from sale orders
project,help,"project.project,sequence",0,Gives the sequence order when displaying a list of Projects.,Gives the sequence order when displaying a list of Projects.
project,help,"project.task,sequence",0,Gives the sequence order when displaying a list of tasks.,Gives the sequence order when displaying a list of tasks.
project,view,project.project,project.view_project_project_filter,Group By,分组于
project,view,project.task,project.view_task_search_form,Group By,分组于
project,view,project.task.history.cumulative,project.view_task_history_search,Group By,分组于
project,view,report.project.task.user,project.view_task_project_user_search,Group By,分组于
project,view,project.config.settings,project.view_config_settings,Helpdesk & Support,Helpdesk & Support
project,selection,"project.task,priority",0,High,高
project,selection,"report.project.task.user,priority",0,High,高
project,model,"ir.model,name",project.model_project_task_history,History of Tasks,任务历史
project,model,"ir.model,name",project.model_project_task_history_cumulative,History of Tasks,任务历史
project,help,"project.project,message_summary",0,"Holds the Chatter summary (number of messages, ...). This summary is directly in html format in order to be inserted in kanban views.",记住交谈者的主要特征（信息的编号，。。。），此主要特征为html格式，以便插入看板视图。
project,help,"project.task,message_summary",0,"Holds the Chatter summary (number of messages, ...). This summary is directly in html format in order to be inserted in kanban views.",记住交谈者的主要特征（信息的编号，。。。），此主要特征为html格式，以便插入看板视图。
project,help,"project.project,privacy_visibility",0,"Holds visibility of the tasks or issues that belong to the current project:
- Public: everybody sees everything; if portal is activated, portal users
   see all tasks or issues; if anonymous portal is activated, visitors
   see all tasks or issues
- Portal (only available if Portal is installed): employees see everything;
   if portal is activated, portal users see the tasks or issues followed by
   them or by someone of their company
- Employees Only: employees see all tasks or issues
- Followers Only: employees see only the followed tasks or issues; if portal
   is activated, portal users see the followed tasks or issues.","Holds visibility of the tasks or issues that belong to the current project:
- Public: everybody sees everything; if portal is activated, portal users
   see all tasks or issues; if anonymous portal is activated, visitors
   see all tasks or issues
- Portal (only available if Portal is installed): employees see everything;
   if portal is activated, portal users see the tasks or issues followed by
   them or by someone of their company
- Employees Only: employees see all tasks or issues
- Followers Only: employees see only the followed tasks or issues; if portal
   is activated, portal users see the followed tasks or issues."
project,field,"project.task,effective_hours",0,Hours Spent,Hours Spent
project,field,"project.task.delegate,planned_hours_me",0,Hours to Validate,Hours to Validate
project,field,"project.category,id",0,ID,ID
project,field,"project.config.settings,id",0,ID,ID
project,field,"project.project,id",0,ID,ID
project,field,"project.task,id",0,ID,ID
project,field,"project.task.delegate,id",0,ID,ID
project,field,"project.task.history,id",0,ID,ID
project,field,"project.task.history.cumulative,id",0,ID,ID
project,field,"project.task.type,id",0,ID,ID
project,field,"project.task.work,id",0,ID,ID
project,field,"report.project.task.user,id",0,ID,ID
project,help,"project.project,message_unread",0,If checked new messages require your attention.,查看是否有需要留意的新信息。
project,help,"project.task,message_unread",0,If checked new messages require your attention.,查看是否有需要留意的新信息。
project,help,"account.analytic.account,use_tasks",0,"If checked, this contract will be available in the project menu and you will be able to manage tasks or track issues","If checked, this contract will be available in the project menu and you will be able to manage tasks or track issues"
project,help,"project.project,active",0,"If the active field is set to False, it will allow you to hide the project without removing it.","If the active field is set to False, it will allow you to hide the project without removing it."
project,help,"project.task,progress",0,If the task has a progress of 99.99% you should close the task if it's finished or reevaluate the time,If the task has a progress of 99.99% you should close the task if it's finished or reevaluate the time
project,help,"project.task.type,case_default",0,"If you check this field, this stage will be proposed by default on each new project. It will not assign this stage to existing projects.","If you check this field, this stage will be proposed by default on each new project. It will not assign this stage to existing projects."
project,selection,"project.project,state",0,In Progress,进行中
project,selection,"project.task,kanban_state",0,In Progress,进行中
project,selection,"report.project.task.user,state",0,In Progress,进行中
project,view,project.project,project.edit_project,Incoming Emails create,Incoming Emails create
project,field,"project.task,planned_hours",0,Initially Planned Hours,Initially Planned Hours
project,help,"project.project,alias_id",0,Internal email associated with this project. Incoming emails are automatically synchronizedwith Tasks (or optionally Issues if the Issue Tracker module is installed).,Internal email associated with this project. Incoming emails are automatically synchronizedwith Tasks (or optionally Issues if the Issue Tracker module is installed).
project,code,addons/project/project.py,201,Internal project: all employees can access,Internal project: all employees can access
project,code,addons/project/project.py,171,Invalid Action!,Invalid Action!
project,field,"project.config.settings,module_project_issue_sheet",0,Invoice working time on issues,Invoice working time on issues
project,field,"project.project,message_is_follower",0,Is a Follower,是一个关注者
project,field,"project.task,message_is_follower",0,Is a Follower,是一个关注者
project,view,project.category,project.project_category_search_view,Issue Version,议题版本
project,field,"project.task,kanban_state",0,Kanban State,看板状态
project,field,"project.task.history,kanban_state",0,Kanban State,看板状态
project,field,"project.task.history.cumulative,kanban_state",0,Kanban State,看板状态
project,view,project.task,project.view_task_search_form,Last Message,Last Message
project,field,"project.project,message_last_post",0,Last Message Date,最后信息日期
project,field,"project.task,message_last_post",0,Last Message Date,最后信息日期
project,field,"project.task,write_date",0,Last Modification Date,Last Modification Date
project,field,"project.task,date_last_stage_update",0,Last Stage Update,Last Stage Update
project,field,"report.project.task.user,date_last_stage_update",0,Last Stage Update,Last Stage Update
project,field,"project.category,write_uid",0,Last Updated by,最后更新
project,field,"project.config.settings,write_uid",0,Last Updated by,最后更新
project,field,"project.project,write_uid",0,Last Updated by,最后更新
project,field,"project.task,write_uid",0,Last Updated by,最后更新
project,field,"project.task.delegate,write_uid",0,Last Updated by,最后更新
project,field,"project.task.type,write_uid",0,Last Updated by,最后更新
project,field,"project.task.work,write_uid",0,Last Updated by,最后更新
project,field,"project.category,write_date",0,Last Updated on,最后更新
project,field,"project.config.settings,write_date",0,Last Updated on,最后更新
project,field,"project.project,write_date",0,Last Updated on,最后更新
project,field,"project.task.delegate,write_date",0,Last Updated on,最后更新
project,field,"project.task.type,write_date",0,Last Updated on,最后更新
project,field,"project.task.work,write_date",0,Last Updated on,最后更新
project,help,"project.config.settings,module_pad",0,"Lets the company customize which Pad installation should be used to link to new pads (for example: http://ietherpad.com/).
-This installs the module pad.","Lets the company customize which Pad installation should be used to link to new pads (for example: http://ietherpad.com/).
-This installs the module pad."
project,help,"project.project,analytic_account_id",0,"Link this project to an analytic account if you need financial management on projects. It enables you to connect projects with budgets, planning, cost and revenue analysis, timesheets on projects, etc.","Link this project to an analytic account if you need financial management on projects. It enables you to connect projects with budgets, planning, cost and revenue analysis, timesheets on projects, etc."
project,field,"project.config.settings,group_tasks_work_on_tasks",0,Log work activities on tasks,Log work activities on tasks
project,selection,"project.task,priority",0,Low,低
