module,type,name,res_id,src,value
procurement,model,"ir.actions.act_window,help",procurement.procurement_exceptions,"<p class=""oe_view_nocontent_create"">
                 Click to create a Procurement.
              </p>
              <p>
                <b>Procurement Orders</b> represent the need for a certain quantity of products, at a given time, in a given location.
              </p>
              <p>
                <b>Sales Orders</b> are one typical source of Procurement Orders (but these are distinct documents). 
                <br/>Depending on the procurement parameters and the product configuration, the procurement engine will attempt to satisfy the need by reserving products from stock, ordering products from a supplier, or passing a manufacturing order, etc...
              </p>
              <p>
                A <b>Procurement Exception</b> occurs when the system cannot find a way to fulfill a procurement. Some exceptions will resolve themselves automatically, but others require manual intervention (those are identified by a specific error message in the chatter).
              </p>
            ","<p class=""oe_view_nocontent_create"">
                 Click to create a Procurement.
              </p>
              <p>
                <b>Procurement Orders</b> represent the need for a certain quantity of products, at a given time, in a given location.
              </p>
              <p>
                <b>Sales Orders</b> are one typical source of Procurement Orders (but these are distinct documents). 
                <br/>Depending on the procurement parameters and the product configuration, the procurement engine will attempt to satisfy the need by reserving products from stock, ordering products from a supplier, or passing a manufacturing order, etc...
              </p>
              <p>
                A <b>Procurement Exception</b> occurs when the system cannot find a way to fulfill a procurement. Some exceptions will resolve themselves automatically, but others require manual intervention (those are identified by a specific error message in the chatter).
              </p>
            "
procurement,model,"ir.actions.act_window,help",procurement.procurement_action,"<p class=""oe_view_nocontent_create"">
                 Click to create a procurement order.  
              </p>
              <p>
                A <b>procurement order</b> is used to record a need for a specific
                product at a specific location. Procurement orders are usually
                created automatically from <i>sales orders, pull logistic rules or
                minimum stock rules.</i>
              </p>
              <p>
                When the procurement order is confirmed, it automatically
                creates the necessary operations to fullfil the need: purchase
                order proposition, manufacturing order, etc.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                 Click to create a procurement order.  
              </p>
              <p>
                A <b>procurement order</b> is used to record a need for a specific
                product at a specific location. Procurement orders are usually
                created automatically from <i>sales orders, pull logistic rules or
                minimum stock rules.</i>
              </p>
              <p>
                When the procurement order is confirmed, it automatically
                creates the necessary operations to fullfil the need: purchase
                order proposition, manufacturing order, etc.
              </p>
            "
procurement,field,"procurement.rule,action",0,Action,动作
procurement,field,"procurement.rule,active",0,Active,有效
procurement,selection,"procurement.group,move_type",0,All at once,一次性全部
procurement,view,procurement.order.compute.all,procurement.view_compute_schedulers_wizard,Cancel,取消
procurement,view,procurement.order,procurement.procurement_form_view,Cancel Procurement,取消补货
procurement,selection,"procurement.order,state",0,Cancelled,已取消
procurement,code,addons/procurement/procurement.py,156,Cannot delete Procurement Order(s) which are in %s state.,不能删除%s 状态的补货订单
procurement,view,procurement.order,procurement.procurement_form_view,Check Procurement,Check Procurement
procurement,help,"procurement.order,rule_id",0,Chosen rule for the procurement resolution. Usually chosen by the system but can be manually set by the procurement manager to force an unusual behavior.,Chosen rule for the procurement resolution. Usually chosen by the system but can be manually set by the procurement manager to force an unusual behavior.
procurement,field,"procurement.order,company_id",0,Company,公司
procurement,field,"procurement.rule,company_id",0,Company,公司
procurement,view,procurement.order.compute.all,procurement.view_compute_schedulers_wizard,Compute all procurements in the background.,Compute all procurements in the background.
procurement,model,"ir.model,name",procurement.model_procurement_order_compute_all,Compute all schedulers,计算所有排程
procurement,selection,"procurement.order,state",0,Confirmed,已确认
procurement,field,"procurement.group,create_uid",0,Created by,创建者
procurement,field,"procurement.order,create_uid",0,Created by,创建者
procurement,field,"procurement.order.compute.all,create_uid",0,Created by,创建者
procurement,field,"procurement.rule,create_uid",0,Created by,创建者
procurement,field,"procurement.group,create_date",0,Created on,创建于
procurement,field,"procurement.order,create_date",0,Created on,创建于
procurement,field,"procurement.order.compute.all,create_date",0,Created on,创建于
procurement,field,"procurement.rule,create_date",0,Created on,创建于
procurement,help,"procurement.order,message_last_post",0,Date of the last message posted on the record.,发布到记录上的最后信息的日期
procurement,field,"procurement.group,move_type",0,Delivery Method,交货方式
procurement,field,"procurement.order,name",0,Description,说明
procurement,selection,"procurement.order,state",0,Done,完成
procurement,selection,"procurement.order,state",0,Exception,异常
procurement,view,procurement.order,procurement.view_procurement_filter,Exceptions,异常
procurement,view,procurement.order,procurement.procurement_form_view,External note...,External note...
procurement,view,procurement.order,procurement.procurement_form_view,Extra Information,额外信息
procurement,selection,"procurement.rule,group_propagation_option",0,Fixed,固定
procurement,field,"procurement.rule,group_id",0,Fixed Procurement Group,Fixed Procurement Group
procurement,field,"procurement.order,message_follower_ids",0,Followers,关注者
procurement,view,procurement.rule,procurement.view_procurement_rule_form,General Information,一般信息
procurement,view,procurement.order,procurement.view_procurement_filter,Group By,分组于
procurement,model,"ir.actions.act_window,name",procurement.do_view_procurements,Group's Procurements,同组的补货
procurement,view,procurement.order,procurement.procurement_form_view,Group's Procurements,同组的补货
procurement,help,"procurement.order,message_summary",0,"Holds the Chatter summary (number of messages, ...). This summary is directly in html format in order to be inserted in kanban views.",记住交谈者的主要特征（信息的编号，。。。），此主要特征为html格式，以便插入看板视图。
procurement,field,"procurement.group,id",0,ID,ID
procurement,field,"procurement.order,id",0,ID,ID
procurement,field,"procurement.order.compute.all,id",0,ID,ID
procurement,field,"procurement.rule,id",0,ID,ID
procurement,help,"procurement.order,message_unread",0,If checked new messages require your attention.,查看是否有需要留意的新信息。
procurement,help,"procurement.rule,active",0,"If unchecked, it will allow you to hide the rule without removing it.","If unchecked, it will allow you to hide the rule without removing it."
procurement,code,addons/procurement/procurement.py,155,Invalid Action!,Invalid Action!
procurement,field,"procurement.order,message_is_follower",0,Is a Follower,是一个关注者
procurement,field,"procurement.order,message_last_post",0,Last Message Date,最后信息日期
procurement,field,"procurement.group,write_uid",0,Last Updated by,最后更新
procurement,field,"procurement.order,write_uid",0,Last Updated by,最后更新
procurement,field,"procurement.order.compute.all,write_uid",0,Last Updated by,最后更新
procurement,field,"procurement.rule,write_uid",0,Last Updated by,最后更新
procurement,field,"procurement.group,write_date",0,Last Updated on,最后更新
procurement,field,"procurement.order,write_date",0,Last Updated on,最后更新
procurement,field,"procurement.order.compute.all,write_date",0,Last Updated on,最后更新
procurement,field,"procurement.rule,write_date",0,Last Updated on,最后更新
procurement,view,procurement.order,procurement.view_procurement_filter,Late,延迟
procurement,selection,"procurement.rule,group_propagation_option",0,Leave Empty,Leave Empty
procurement,view,res.company,procurement.mrp_company,Logistics,物流
procurement,field,"procurement.order,message_ids",0,Messages,消息
procurement,help,"procurement.order,message_ids",0,Messages and communication history,消息和通信历史
procurement,field,"procurement.rule,name",0,Name,名称
procurement,code,addons/procurement/procurement.py,212,No rule matching this procurement,没有规则匹配到此补货
procurement,selection,"procurement.order,priority",0,Normal,普通
procurement,selection,"procurement.order,priority",0,Not urgent,不紧急
procurement,view,procurement.order,procurement.procurement_form_view,Notes,备注
procurement,selection,"procurement.group,move_type",0,Partial,部分
procurement,field,"procurement.order,priority",0,Priority,优先级(0=紧急)
procurement,model,"ir.model,name",procurement.model_procurement_order,Procurement,补货
procurement,view,procurement.order,procurement.procurement_form_view,Procurement,补货
procurement,view,procurement.order,procurement.view_procurement_filter,Procurement,补货
procurement,model,"ir.actions.act_window,name",procurement.procurement_action5,Procurement Exceptions,补货异常
procurement,view,procurement.order,procurement.view_procurement_filter,Procurement Exceptions,补货异常
procurement,field,"procurement.order,group_id",0,Procurement Group,补货组
procurement,view,procurement.order,procurement.procurement_tree_view,Procurement Lines,补货明细
procurement,model,"ir.actions.act_window,name",procurement.procurement_action,Procurement Orders,补货订单
procurement,model,"ir.model,name",procurement.model_procurement_group,Procurement Requisition,补货申请
procurement,model,"ir.model,name",procurement.model_procurement_rule,Procurement Rule,补货规则
procurement,view,procurement.group,procurement.procurement_group_form_view,Procurement group,补货组
procurement,view,procurement.order,procurement.view_procurement_filter,Procurement started late,没有如期开始的补货
procurement,model,"ir.actions.act_window,name",procurement.procurement_exceptions,Procurements,补货
procurement,view,procurement.group,procurement.procurement_group_form_view,Procurements,补货
procurement,field,"procurement.group,procurement_ids",0,Procurements,补货
procurement,view,procurement.order,procurement.view_procurement_filter,Product,产品
procurement,field,"procurement.order,product_id",0,Product,产品
procurement,field,"procurement.order,product_uom",0,Product Unit of Measure,产品计量单位
procurement,field,"procurement.order,product_uos",0,Product UoS,产品销售单位
procurement,selection,"procurement.rule,group_propagation_option",0,Propagate,沿用
procurement,view,procurement.rule,procurement.view_procurement_rule_form,Propagation Options,沿用选项
procurement,field,"procurement.rule,group_propagation_option",0,Propagation of Procurement Group,补货组的沿用
procurement,view,procurement.rule,procurement.view_procurement_rule_form,Pull Rule,拉式规则
procurement,view,procurement.rule,procurement.view_procurement_rule_tree,Pull Rules,拉式规则
procurement,field,"procurement.order,product_qty",0,Quantity,数量
procurement,view,procurement.order,procurement.procurement_form_view,Reconfirm Procurement,再次确认补货
procurement,field,"procurement.group,name",0,Reference,参考
procurement,help,"procurement.order,origin",0,"Reference of the document that created this Procurement.
This is automatically completed by Odoo.","Reference of the document that created this Procurement.
This is automatically completed by Odoo."
procurement,field,"procurement.order,rule_id",0,Rule,规则
procurement,view,procurement.order,procurement.procurement_form_view,Run Procurement,运行补货
procurement,model,"ir.actions.act_window,name",procurement.action_compute_schedulers,Run Schedulers,运行排程
procurement,view,procurement.order.compute.all,procurement.view_compute_schedulers_wizard,Run Schedulers,运行排程
procurement,selection,"procurement.order,state",0,Running,进行中
procurement,field,"procurement.order,date_planned",0,Scheduled Date,预定日期
procurement,view,procurement.order,procurement.view_procurement_filter,Scheduled Month,Scheduled Month
procurement,view,procurement.order.compute.all,procurement.view_compute_schedulers_wizard,Scheduler Parameters,排程参数
procurement,view,procurement.order,procurement.procurement_form_view,Scheduling,排程
procurement,view,procurement.order,procurement.view_procurement_filter,Search Procurement,搜索补货
procurement,field,"procurement.rule,sequence",0,Sequence,序列
procurement,field,"procurement.order,origin",0,Source Document,源单据
procurement,view,procurement.order,procurement.view_procurement_filter,Status,状态
procurement,field,"procurement.order,state",0,Status,状态
procurement,field,"procurement.order,message_summary",0,Summary,摘要
procurement,help,"procurement.rule,name",0,This field will fill the packing origin and the name of its moves,This field will fill the packing origin and the name of its moves
procurement,view,procurement.order,procurement.procurement_tree_view,Unit of Measure,计量单位
procurement,field,"procurement.order,message_unread",0,Unread Messages,未读消息
procurement,field,"procurement.order,product_uos_qty",0,UoS Quantity,销售单位数量
procurement,selection,"procurement.order,priority",0,Urgent,紧急
procurement,selection,"procurement.order,priority",0,Very Urgent,非常紧急
procurement,view,procurement.order,procurement.procurement_form_view,e.g. SO005,e.g. SO005
procurement,view,procurement.order.compute.all,procurement.view_compute_schedulers_wizard,or,或
procurement_jit,model,"ir.model,name",procurement_jit.model_procurement_order,Procurement,补货
