module,type,name,res_id,src,value
website,view,website,website.snippets,"""OpenERP""","""OpenERP"""
website,code,addons/website/static/src/xml/website.snippets.xml,34,&nbsp;,&nbsp;
website,code,addons/website/static/src/xml/website.snippets.xml,35,&nbsp;,&nbsp;
website,code,addons/website/static/src/xml/website.snippets.xml,36,&nbsp;,&nbsp;
website,view,website,website.info,&times;,&times;
website,view,website,website.themes,&times;,&times;
website,view,website,website.500,' in the box below if you want to confirm.,' in the box below if you want to confirm.
website,code,addons/website/static/src/xml/website.editor.xml,366,"(Youtube, Vimeo, Dailymotion)","(Youtube, Vimeo, Dailymotion)"
website,view,website,website.info,",
                                updated:",",
                                updated:"
website,view,website,website.layout,",
                the #1",",
                #1"
website,view,website,website.info,", author:",", 作者:"
website,view,website,website.info,", updated:",", 更新:"
website,view,website,website.sitemap_index_xml,.xml,.xml
website,code,addons/website/static/src/xml/website.seo.xml,22,1. Define Keywords,1. 定义关键字
website,code,addons/website/static/src/xml/website.seo.xml,40,2. Reference Your Page,2. Reference Your Page
website,code,addons/website/static/src/xml/website.seo.xml,57,3. Preview,3. 预览
website,view,website,website.403,403: Forbidden,403: 禁止
website,view,website,website.404,404: Page not found!,404: 页面没有找到!
website,view,website,website.snippets,"50,000+ companies run Odoo to grow their businesses.","50,000+ companies run Odoo to grow their businesses."
website,model,"ir.actions.act_window,help",website.action_module_website,"<p><b>No website module found!</b></p>
              <p>You should try others search criteria.</p>
            ","<p><b>No website module found!</b></p>
              <p>You should try others search criteria.</p>
            "
website,view,website,website.snippets,A Great Headline,A Great Headline
website,view,website,website.snippets,A Punchy Headline,A Punchy Headline
website,view,website,website.snippets,A Section Subtitle,A Section Subtitle
website,view,website,website.snippets,A Small Subtitle,小标题
website,view,website,website.themes,A calm blue sky,A calm blue sky
website,help,"ir.actions.server,website_published",0,"A code server action can be executed from the website, using a dedicatedcontroller. The address is <base>/website/action/<website_path>.Set this field as True to allow users to run this action. If itset to is False the action cannot be run through the website.","A code server action can be executed from the website, using a dedicatedcontroller. The address is <base>/website/action/<website_path>.Set this field as True to allow users to run this action. If itset to is False the action cannot be run through the website."
website,view,website,website.themes,A friendly foundation,A friendly foundation
website,view,website,website.snippets,A good subtitle,A good subtitle
website,view,website,website.snippets,"A great way to catch your reader's attention is to tell a story.
                            Everything you consider writing can be told as a story.","A great way to catch your reader's attention is to tell a story.
                            Everything you consider writing can be told as a story."
